make,price,body,mileage,engV,engType,registration,year,drive
5,67500.0,0,1,2.0,0,1,2016,1
5,67500.0,0,1,2.5,0,1,2016,1
42,28999.0,0,139,3.6,0,1,2008,1
42,49999.0,0,43,5.0,3,1,2012,1
74,14700.0,3,139,3.5,3,1,2008,0
42,53500.0,0,57,3.0,0,1,2013,1
17,5600.0,3,145,1.6,3,1,2008,0
42,78900.0,0,0,3.0,0,1,2015,1
67,13200.0,1,64,1.8,3,1,2012,0
5,37200.0,2,115,3.0,0,1,2011,1
42,27500.0,2,174,3.6,0,1,2008,1
49,9200.0,3,124,2.0,3,1,2007,0
50,17500.0,5,220,3.0,0,1,2012,2
74,24000.0,3,16,2.5,3,1,2013,0
42,77777.0,0,42,2.99,0,1,2014,1
49,8000.0,3,167,2.0,3,1,2007,0
43,85999.0,0,39,5.7,1,1,2013,1
50,2400.0,3,3,3.0,0,1,1998,0
74,195000.0,0,0,4.5,0,1,2016,1
4,4600.0,4,242,99.99,0,0,2004,0
52,18900.0,0,127,3.0,1,1,2008,1
50,114999.0,0,0,2.99,0,1,2016,1
50,103333.0,0,0,3.0,0,1,2016,1
74,20800.0,0,107,4.0,3,1,2006,1
5,24500.0,0,170,4.8,1,1,2007,1
74,12300.0,3,157,2.4,1,1,2007,0
50,20500.0,3,173,1.8,1,1,2011,2
5,11500.0,3,193,4.4,3,1,2000,2
50,13200.0,5,182,2.2,0,1,2011,2
5,29900.0,0,235,3.0,0,1,2009,1
50,12500.0,5,167,2.2,0,1,2013,2
67,13999.0,3,88,1.8,3,1,2012,0
23,15500.0,0,68,2.5,1,1,2010,1
43,79500.0,0,40,5.7,3,1,2014,1
42,30000.0,2,155,3.6,0,1,2008,1
43,16600.0,3,179,3.0,3,1,2006,1
74,14300.0,3,71,2.4,3,1,2008,0
43,47000.0,0,1,5.7,3,1,2008,1
17,3200.0,3,130,1.5,3,1,2003,0
4,24996.0,3,98,3.2,3,1,2009,1
50,9200.0,2,280,2.4,3,1,2003,2
4,6800.0,3,225,2.4,1,1,1998,0
23,15500.0,0,68,2.5,0,1,2010,0
50,38200.0,3,39,1.6,3,1,2015,2
67,19200.0,3,75,1.8,3,1,2014,0
50,125000.0,3,18,3.0,0,1,2015,1
58,87900.0,0,1,3.0,0,1,2016,1
74,9000.0,3,232,2.4,3,1,2005,0
34,35999.0,0,98,3.7,1,1,2012,1
43,21900.0,3,77,3.0,3,1,2008,2
74,13900.0,3,139,2.4,2,1,2008,0
43,22400.0,0,100,4.7,1,1,2005,1
58,81000.0,0,35,4.8,3,1,2014,1
50,6200.0,2,340,2.4,1,1,1998,2
5,66900.0,0,70,3.0,0,1,2014,1
5,104999.0,0,2,3.0,0,1,2016,1
50,38600.0,2,12,1.8,3,1,2012,2
55,21850.0,0,64,2.0,3,1,2013,1
50,37500.0,2,94,5.5,3,1,2009,2
4,39000.0,3,18,1.8,2,1,2015,0
43,44500.0,0,144,5.7,1,1,2009,1
74,11300.0,1,87,1.0,3,1,2009,0
55,25382.955,0,0,1.6,0,1,2016,1
67,8100.0,3,135,1.8,3,1,2008,0
52,23000.0,0,125,3.0,1,1,2008,1
4,1950.0,4,210,1.8,1,0,1996,0
42,33000.0,0,140,5.0,3,1,2010,1
42,51500.0,0,93,3.0,0,1,2013,1
67,22700.0,1,24,1.4,3,1,2014,0
67,11900.0,3,109,1.8,3,1,2012,0
5,28000.0,3,170,2.0,0,1,2011,2
70,12900.0,4,116,2.0,3,1,2008,1
39,16400.0,1,54,1.6,0,1,2013,0
74,24171.42,3,1,2.5,3,1,2016,0
50,20300.0,3,198,1.8,1,1,2011,2
70,14000.0,0,171,99.99,3,1,2010,1
77,9900.0,3,80,1.6,3,1,2011,0
50,110000.0,0,0,3.0,0,1,2016,1
4,25500.0,3,140,2.8,3,1,2012,0
77,7000.0,5,345,1.9,0,1,2006,0
76,3600.0,2,80,2.0,1,1,2002,1
30,12990.0,3,111,1.8,3,1,2011,0
42,147000.0,0,15,5.0,3,1,2015,1
30,11900.0,3,109,2.4,3,1,2009,0
77,12199.0,4,149,2.0,0,1,2008,0
12,5200.0,3,179,1.5,1,1,2008,0
59,10500.0,4,185,1.5,0,1,2011,0
74,24800.0,3,43,2.5,1,1,2015,0
39,13300.0,1,35,1.6,3,1,2012,0
4,2300.0,4,250,2.5,0,0,2001,1
52,6200.0,3,152,1.6,3,1,2006,0
55,18200.0,0,65,3.5,1,1,2009,1
23,12500.0,3,63,1.6,3,1,2013,0
58,117777.0,1,9,4.8,3,1,2014,1
39,8800.0,2,135,2.4,1,1,2006,1
58,69900.0,3,40,3.0,0,1,2013,2
56,5350.0,3,180,1.4,3,1,2007,0
39,42741.621,0,0,2.2,0,1,2016,1
77,16500.0,3,123,1.8,3,1,2010,0
12,6700.0,3,80,1.5,3,1,2011,0
50,111999.0,0,0,3.0,0,1,2016,1
4,3700.0,4,273,2.5,0,0,2003,0
1,5900.0,1,199,1.6,3,1,2002,0
74,75500.0,0,50,4.6,3,1,2015,1
50,55000.0,0,40,4.6,3,1,2013,1
52,9800.0,3,148,2.0,1,1,2008,0
70,6100.0,4,350,2.0,3,1,2005,1
12,5500.0,3,121,1.5,3,1,2006,0
12,7799.0,3,199,1.6,1,1,2012,0
30,13900.0,1,63,1.8,3,1,2013,0
39,14500.0,0,106,2.5,0,1,2008,1
68,8000.0,2,62,1.0,3,1,2011,2
59,14700.0,0,61,1.5,0,1,2013,0
43,135555.0,0,0,4.5,0,1,2016,1
33,14500.0,0,102,2.2,0,1,2008,1
76,4100.0,1,60,1.6,3,1,2013,0
58,54900.0,3,64,4.8,3,1,2011,1
5,30500.0,3,73,2.0,3,1,2013,2
77,10700.0,3,195,3.2,3,1,2007,1
55,17700.0,1,21,0.11,2,1,2014,0
59,8700.0,4,123,1.5,0,1,2009,0
30,13200.0,3,145,2.0,1,1,2008,0
74,59900.0,0,90,4.5,0,1,2012,1
23,12099.0,3,109,1.6,1,1,2011,0
77,7300.0,5,240,1.9,0,1,2005,0
50,24800.0,2,160,3.0,0,1,2007,2
23,12300.0,1,71,1.6,1,1,2013,0
70,17000.0,0,134,2.0,3,1,2011,1
42,102999.0,0,39,5.0,3,1,2014,1
57,8500.0,5,135,1.6,0,1,2009,0
33,29999.0,0,52,2.2,0,1,2014,1
71,11500.0,0,101,2.0,3,1,2008,1
39,20500.0,0,98,2.0,3,1,2011,1
5,89999.0,0,17,4.4,3,1,2015,1
59,7800.0,4,120,1.5,0,1,2008,0
43,16500.0,3,115,3.0,3,1,2007,2
59,10600.0,4,220,2.5,2,1,2006,0
4,37800.0,2,126,3.0,0,1,2010,1
77,8800.0,5,93,1.6,0,1,2012,0
5,8500.0,3,284,1.9,1,1,2000,2
74,25900.0,0,97,4.0,3,1,2009,1
42,95000.0,0,60,5.0,3,1,2014,1
70,8000.0,0,210,2.0,3,1,2005,1
5,2550.0,3,280,1.6,3,0,2000,2
55,14999.0,1,31,1.0,2,1,2013,0
50,12600.0,3,123,3.2,3,1,2000,2
59,18456.1611,0,1,1.5,0,1,2016,1
50,8200.0,3,280,2.4,1,1,1997,2
49,12500.0,3,89,2.0,3,1,2009,0
57,8300.0,4,135,2.0,3,1,2008,0
4,4150.0,3,220,2.5,0,0,1999,0
4,46000.0,3,170,4.2,0,1,2011,1
74,28700.0,0,100,3.5,3,1,2012,1
17,3499.0,1,104,0.8,3,1,2008,0
67,7650.0,3,119,1.8,1,1,2006,0
4,2411.0,3,240,1.6,2,1,1987,0
77,8900.0,5,272,1.9,0,1,2005,0
59,11500.0,4,230,1.5,0,1,2012,0
77,4500.0,5,380,2.0,0,1,2004,0
33,9600.0,3,98,1.4,3,1,2011,0
23,5900.0,1,138,1.4,3,1,2008,0
50,9900.0,3,275,2.2,2,1,2005,2
74,15300.0,0,130,2.0,3,1,2008,1
55,9300.0,1,97,1.2,3,1,2010,0
59,12499.0,5,78,2.0,0,1,2012,0
55,15000.0,0,46,1.6,3,1,2013,0
74,37700.0,0,47,5.7,1,1,2009,1
68,6500.0,2,110,1.0,3,1,2007,2
71,9650.0,0,81,2.0,3,1,2006,1
77,7000.0,3,185,2.8,1,1,2004,1
30,13200.0,3,100,1.8,3,1,2012,0
30,13400.0,3,38,1.8,3,1,2012,0
71,6999.0,0,203,2.0,3,1,2002,1
5,34600.0,0,163,5.0,3,1,2011,1
39,23999.0,0,14,2.2,0,1,2012,1
56,1600.0,3,280,2.3,0,1,1987,2
50,35900.0,0,254,5.0,1,1,2004,1
23,16400.0,0,87,2.5,3,1,2010,1
33,8900.0,3,138,1.4,3,1,2011,0
70,38900.0,0,0,2.0,0,1,2016,1
59,13200.0,5,230,2.0,0,1,2009,0
74,26500.0,0,21,2.0,3,1,2013,1
77,7800.0,5,282,2.5,0,1,2000,0
50,109999.0,0,1,3.0,0,1,2016,1
4,24900.0,3,163,4.2,0,1,2008,1
43,27500.0,0,150,4.7,1,1,2005,1
17,3950.0,1,36,0.8,3,1,2011,0
5,63500.0,0,33,3.0,3,1,2015,1
43,57800.0,0,60,5.7,3,1,2011,1
59,6800.0,5,131,1.5,0,1,2013,0
55,19000.0,0,70,1.6,3,1,2012,0
74,14700.0,3,131,3.5,1,1,2007,0
43,6000.0,3,350,3.0,3,1,1996,2
74,23000.0,2,211,4.0,1,1,2007,1
49,2700.0,2,450,2.0,1,1,1989,0
33,6200.0,1,121,1.4,1,1,2008,0
74,28900.0,0,20,2.5,3,1,2013,1
77,19100.0,3,4,1.6,2,1,2016,0
5,1500.0,3,270,2.5,0,0,1992,2
59,5400.0,4,181,1.5,0,0,2010,0
55,15700.0,1,22,0.11,2,1,2013,0
5,26900.0,0,170,3.0,0,1,2008,1
77,10600.0,5,120,2.0,0,1,2007,0
30,16777.0,3,77,2.4,3,1,2011,0
42,102999.0,0,39,5.0,3,1,2014,1
52,16900.0,0,126,3.0,1,1,2008,1
5,8500.0,2,265,2.8,1,1,1998,2
50,17800.0,5,162,1.8,0,1,2012,0
50,20300.0,3,198,1.8,1,1,2011,2
52,7200.0,3,83,1.6,2,1,2007,0
